"school_district_code","school_district","count_act_ela_below_basic","count_act_ela_basic_or_below_basic","count_act_students","percent_act_ela_below_basic","percent_act_ela_basic_or_below_basic","average_act_english_percentile","average_act_reading_percentile","count_12th_grade_ell","count_12th_graders","percent_12th_grade_ell","count_graduates","count_in_grad_cohort","percent_graduates","count_wsas_ela_below_basic_3_8","count_wsas_ela_basic_or_below_basic_3_8","count_wsas_students_3_8","percent_wsas_ela_below_basic_3_8","percent_wsas_ela_basic_or_below_basic_3_8","count_wsas_ela_below_basic_3_5","count_wsas_ela_basic_or_below_basic_3_5","count_wsas_students_3_5","percent_wsas_ela_below_basic_3_5","percent_wsas_ela_basic_or_below_basic_3_5","count_wsas_ela_below_basic_6_8","count_wsas_ela_basic_or_below_basic_6_8","count_wsas_students_6_8","percent_wsas_ela_below_basic_6_8","percent_wsas_ela_basic_or_below_basic_6_8"
7,"Abbotsford","18","30",44,"40.9","68.2","40","36","8",50,"16","48",50,"96","92","218",309,"29.8","70.6","50","133",170,"29.4","78.2","42","85",139,"30.2","61.2"
14,"Adams-Friendship Area","43","89",125,"34.4","71.2","36","36","0",122,"0","107",117,"91.5","239","456",662,"36.1","68.9","115","212",311,"37","68.2","124","244",351,"35.3","69.5"
63,"Albany","9","18",29,"31","62.1","45","42","1",23,"4.3","17",22,"77.3","41","95",147,"27.9","64.6","16","41",70,"22.9","58.6","25","54",77,"32.5","70.1"
70,"Algoma","7","32",66,"10.6","48.5","58","55","0",58,"0","46",54,"85.2","37","147",264,"14","55.7","20","77",134,"14.9","57.5","17","70",130,"13.1","53.8"
84,"Alma","Redacted","Redacted",15,"Redacted","Redacted","Redacted","Redacted","0",26,"0","24",25,"96","14","63",106,"13.2","59.4","6","26",49,"12.2","53.1","8","37",57,"14","64.9"
91,"Alma Center","10","25",42,"23.8","59.5","52","48","3",53,"5.7","50",53,"94.3","74","171",268,"27.6","63.8","44","96",141,"31.2","68.1","30","75",127,"23.6","59.1"
105,"Almond-Bancroft","8","15",22,"36.4","68.2","45","42","3",35,"8.6","33",33,"100","39","112",173,"22.5","64.7","13","44",76,"17.1","57.9","26","68",97,"26.8","70.1"
112,"Altoona","11","50",109,"10.1","45.9","58","61","0",105,"0","94",103,"91.3","106","339",681,"15.6","49.8","76","200",365,"20.8","54.8","30","139",316,"9.5","44"
119,"Amery","18","57",102,"17.6","55.9","45","55","0",131,"0","118",129,"91.5","70","315",690,"10.1","45.7","42","183",351,"12","52.1","28","132",339,"8.3","38.9"
126,"Tomorrow River","21","43",76,"27.6","56.6","52","48","0",73,"0","71",74,"95.9","45","218",488,"9.2","44.7","25","115",263,"9.5","43.7","20","103",225,"8.9","45.8"
140,"Antigo Unified","64","133",191,"33.5","69.6","36","42","0",203,"0","167",184,"90.8","236","626",1020,"23.1","61.4","119","296",493,"24.1","60","117","330",527,"22.2","62.6"
147,"Appleton Area","249","605",1182,"21.1","51.2","45","55","35",1302,"2.7","1078",1212,"88.9","1563","4018",6854,"22.8","58.6","782","1982",3340,"23.4","59.3","781","2036",3514,"22.2","57.9"
154,"Arcadia","26","62",81,"32.1","76.5","36","31","5",89,"5.6","85",88,"96.6","140","334",550,"25.5","60.7","87","206",299,"29.1","68.9","53","128",251,"21.1","51"
161,"Argyle","Redacted","Redacted",18,"Redacted","Redacted","Redacted","Redacted","0",28,"0","27",28,"96.4","31","89",129,"24","69","14","41",56,"25","73.2","17","48",73,"23.3","65.8"
170,"Ashland","30","91",161,"18.6","56.5","40","48","0",178,"0","157",169,"92.9","253","623",966,"26.2","64.5","125","302",486,"25.7","62.1","128","321",480,"26.7","66.9"
182,"Ashwaubenon","41","136",261,"15.7","52.1","52","48","2",275,"0.7","244",257,"94.9","253","739",1385,"18.3","53.4","93","335",688,"13.5","48.7","160","404",697,"23","58"
196,"Athens","16","38",51,"31.4","74.5","36","42","0",50,"0","48",48,"100","39","81",124,"31.5","65.3","15","37",58,"25.9","63.8","24","44",66,"36.4","66.7"
203,"Auburndale","17","29",52,"32.7","55.8","45","42","0",61,"0","60",60,"100","57","217",378,"15.1","57.4","15","90",182,"8.2","49.5","42","127",196,"21.4","64.8"
217,"Augusta","14","26",42,"33.3","61.9","36","48","0",45,"0","41",48,"85.4","66","172",297,"22.2","57.9","40","90",156,"25.6","57.7","26","82",141,"18.4","58.2"
231,"Baldwin-Woodville Area","23","60",114,"20.2","52.6","52","48","1",112,"0.9","105",110,"95.5","98","356",711,"13.8","50.1","43","160",361,"11.9","44.3","55","196",350,"15.7","56"
238,"Unity","23","55",72,"31.9","76.4","36","42","0",65,"0","63",66,"95.5","101","288",442,"22.9","65.2","51","154",231,"22.1","66.7","50","134",211,"23.7","63.5"
245,"Bangor","9","30",39,"23.1","76.9","36","42","0",41,"0","37",38,"97.4","26","108",241,"10.8","44.8","12","44",119,"10.1","37","14","64",122,"11.5","52.5"
280,"Baraboo","46","107",194,"23.7","55.2","45","48","2",272,"0.7","235",259,"90.7","301","781",1270,"23.7","61.5","159","383",623,"25.5","61.5","142","398",647,"21.9","61.5"
287,"Barneveld","3","13",28,"10.7","46.4","52","61","0",28,"0","28",29,"96.6","30","116",199,"15.1","58.3","19","59",103,"18.4","57.3","11","57",96,"11.5","59.4"
